unnamed_0,deal_num,pre_rev_mul_ly,pre_ebitda_mul_ly,pre_ebit_mul_ly,pre_pbt_mul_ly,pre_pat_mul_ly,pre_np_mul_ly,pre_ta_mul_ly,pre_na_mul_ly,pre_cl_mul_ly,pre_eq_mul_ly,pre_cap_mul_ly,post_rev_mul_fy,post_ebitda_mul_fy,post_ebit_mul_fy,post_pbt_mul_fy,post_pat_mul_fy,post_np_mul_fy,post_ta_mul_fy,post_na_mul_fy,post_cl_mul_fy,post_eq_mul_fy,post_cap_mul_fy
10732.0,1941635117.0,0.52,-,n.s.,n.s.,n.s.,-,0.63,-,0.64,23.89,-,0.52,-,-,213.87,66.83,-,0.67,-,-,3.17,-
10733.0,1909153775.0,1.36,19.45,56.61,35.42,55.61,-,1.39,-,9.13,1.89,-,1.31,21.2,58.96,36.11,48.92,-,1.35,-,9.03,1.82,-
10734.0,2008032773.0,0.13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10735.0,1907084146.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10736.0,1941389581.0,1.54,-,-,96.15,-,-,0.86,-,-,3.05,-,-,-,-,-,-,-,-,-,-,-,-
10737.0,1943058064.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10738.0,1941628803.0,2.33,-,-,n.s.,-,-,5.68,-,-,n.s.,-,-,-,-,-,-,-,-,-,-,-,-
10739.0,540806.0,0.07,-,0.55,0.6,0.83,-,0.08,-,0.14,0.2,-,0.05,-,0.66,0.66,0.85,-,0.08,-,0.16,0.17,-
10740.0,91474.0,0.08,n.s.,n.s.,n.s.,-,-,0.34,-,0.34,n.s.,-,0.18,n.s.,n.s.,n.s.,-,-,1,-,0.45,n.s.,-
10741.0,2007818215.0,2.48,27.03,27.03,27.03,27.03,-,5.95,-,-,n.s.,-,-,-,-,-,-,-,-,-,-,-,-
10742.0,491008.0,0.2,15,25,n.s.,-,-,0.52,-,0.23,n.s.,-,0.18,-,n.s.,n.s.,-,-,7.14,-,8.33,50,-
10743.0,1941488056.0,0.25,-,-,1.7,1.72,-,0.21,-,-,0.33,-,-,-,-,-,-,-,-,-,-,-,-
10744.0,1907161205.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10745.0,1943289679.0,0.25,-,24.27,n.s.,n.s.,-,0.25,-,0.67,0.62,-,0.18,-,n.s.,n.s.,n.s.,-,0.08,-,0.63,0.53,-
10746.0,1603053512.0,1.41,n.s.,n.s.,n.s.,n.s.,-,1.19,-,18.18,1.27,-,22.22,33.33,50,50,200,-,1.22,-,40,1.26,-
10747.0,1633094101.0,28.33,-,340,340,340,-,1.56,-,1.56,340,-,42.5,-,n.s.,n.s.,n.s.,-,0.65,-,2.27,0.91,-
10748.0,2007480744.0,0.06,-,n.s.,n.s.,n.s.,-,0.06,-,0.56,n.s.,-,-,-,-,-,-,-,-,-,-,-,-
10749.0,1601175048.0,0.39,n.s.,n.s.,n.s.,n.s.,-,0.52,-,0.69,n.s.,-,0.81,n.s.,n.s.,n.s.,n.s.,-,0.38,-,1.55,1.2,-
10750.0,2007289803.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10751.0,1941420393.0,0.24,-,-,1.24,-,-,0.26,-,-,0.51,-,-,-,-,-,-,-,-,-,-,-,-
10752.0,1601246665.0,0.5,n.s.,n.s.,n.s.,n.s.,-,0.74,-,1.47,1.59,0.94,0.62,n.s.,n.s.,n.s.,n.s.,-,0.82,-,1.77,1.66,-
10753.0,2007031854.0,1.18,4.93,4.95,5.03,6.2,-,2.26,-,8.2,3.47,-,0.83,5.35,5.5,5.59,7.53,-,1.59,-,5.79,2.35,-
10754.0,1907198633.0,0.88,-,312.5,14.62,13.42,-,0.56,-,1.77,0.81,-,0.9,-,-,10.03,10.04,-,0.43,-,-,0.77,-
10755.0,1909525243.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10756.0,292742.0,0.01,3.86,3.86,4.33,8.49,-,0.08,-,0.19,0.15,-,0.01,-,-,-,-,-,-,-,-,-,-
10757.0,1941512297.0,2.73,-,4.69,4.69,5.97,-,3.44,-,8.64,5.73,-,1.19,-,2.59,2.64,3.32,-,1.78,-,7.39,2.34,-
10758.0,1601308169.0,0.85,5.18,43.14,14.82,14.06,-,0.61,-,1.87,1,-,0.52,2.35,2.78,2.61,2.59,-,0.59,-,5.28,0.68,-
10759.0,1907002860.0,0.23,-,2.78,2.78,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10760.0,1907085267.0,-,-,-,-,-,-,-,-,-,-,-,-,-,n.s.,-,-,-,-,-,-,-,-
,,-,-,-,-,-,-,-,-,-,-,-,-,-,n.s.,-,-,-,-,-,-,-,-
,,-,-,-,-,-,-,-,-,-,-,-,-,-,n.s.,-,-,-,-,-,-,-,-
10761.0,1909292055.0,0.85,-,31.61,292.41,292.41,-,0.43,-,0.72,1.67,-,0.67,-,3.59,3.79,3.79,-,0.51,-,0.87,1.62,-
10762.0,1601365608.0,11.58,n.s.,n.s.,n.s.,n.s.,-,0.77,-,3.3,1,-,20.74,n.s.,n.s.,n.s.,n.s.,-,0.78,-,2.39,1.16,-
10763.0,190087.0,0.5,1.74,1.76,1.76,2.42,-,0.89,-,2.01,1.6,-,0.47,-,1.5,1.46,2.02,-,0.61,-,1.88,0.89,-
10764.0,1907156607.0,1.8,-,-,39.26,-,-,2.76,-,-,4.61,-,-,-,-,-,-,-,-,-,-,-,-
10765.0,1909183986.0,1.69,27.79,27.79,31.06,39.6,-,2.05,-,2.59,9.72,-,1.86,10.56,10.56,68.87,99,-,0.44,-,2.98,1.65,-
10766.0,2007915357.0,0.07,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10767.0,1943053354.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10768.0,111770.0,0.01,-,n.s.,n.s.,-,-,0.01,-,-,0.12,-,-,-,-,-,-,-,-,-,-,-,-
10769.0,1941123969.0,4.47,n.s.,n.s.,23.93,21.95,-,0.62,-,3.16,0.78,-,2.5,19.49,23.1,58.76,60.54,-,0.46,-,1.05,0.81,1.71
10770.0,1603047921.0,-,-,-,-,-,-,-,-,-,-,-,0.12,4.91,4.98,4.16,6.15,-,0.16,-,2.89,0.17,0.19
10771.0,1941388856.0,0.04,-,-,2.21,2.38,-,0.17,-,-,0.52,-,-,-,-,-,-,-,-,-,-,-,-
10772.0,1941462085.0,0.9,-,-,197.13,-,-,0.24,-,n.s.,n.s.,-,-,-,-,-,-,-,-,-,-,-,-
10773.0,1941156114.0,0.79,n.s.,n.s.,n.s.,n.s.,-,0.68,-,1.47,6.54,-,-,-,-,-,-,-,-,-,-,-,-
10774.0,2007440781.0,0.53,-,-,7.62,-,-,0.46,-,-,7.79,-,-,-,-,-,-,-,-,-,-,-,-
10775.0,1941617045.0,0.22,-,-,-,6.88,-,0.52,1.17,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10776.0,2007088142.0,0.07,0.55,1.07,2.69,2.48,-,0.1,-,0.39,0.81,-,0.06,0.31,0.39,0.5,0.62,-,0.09,-,0.4,0.35,-
10777.0,1603017212.0,9.09,-,-,-,-,-,1.16,-,100,1.18,-,200,-,-,-,200,-,1.17,-,n.s.,1.17,-
10778.0,1601330449.0,1.06,7.73,8.58,5.19,6.68,-,1.25,-,2.22,3.03,-,0.54,5.12,5.36,4.89,7.52,-,1.22,-,2.04,3.3,-
10779.0,1907155943.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10780.0,221989.0,0.07,n.s.,n.s.,n.s.,n.s.,-,0.09,-,0.08,n.s.,-,0.4,n.s.,n.s.,n.s.,n.s.,-,0.09,-,0.1,n.s.,-
10781.0,414949.0,0.2,-,n.s.,n.s.,n.s.,-,0.16,-,0.16,n.s.,-,0.21,-,4.08,4.08,4.17,-,0.19,-,0.18,n.s.,-
10782.0,1907227028.0,0.48,-,-,n.s.,n.s.,-,0.51,1.05,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10783.0,1907094878.0,-,-,-,-,-,-,-,-,-,-,-,-,n.s.,n.s.,n.s.,n.s.,-,1.56,-,76.99,1.59,-
10784.0,1941527744.0,13.16,-,-,n.s.,-,-,1.87,-,-,1.89,-,-,-,-,-,-,-,-,-,-,-,-
10785.0,1633037743.0,0.06,-,n.s.,n.s.,-,-,0.04,-,0.06,1.76,-,0.05,-,0.31,n.s.,-,-,0.03,-,0.05,0.09,-
10786.0,1909410939.0,0.92,-,41.01,111.31,121.74,-,0.69,-,2.27,1.22,-,0.91,-,76.39,155.83,162.33,-,0.76,-,2.07,1.21,-
10787.0,1907095248.0,0.13,n.s.,n.s.,n.s.,n.s.,-,0.12,-,0.07,n.s.,-,-,-,-,-,-,-,-,-,-,-,-
10788.0,1941037472.0,0.32,-,121.95,n.s.,n.s.,-,0.31,-,0.45,0.99,-,0.22,-,-,n.s.,n.s.,-,0.32,-,-,2.6,-
10789.0,1943297340.0,0.98,-,-,6.98,-,-,1.09,-,-,1.25,-,-,-,-,-,-,-,-,-,-,-,-
10790.0,1633082646.0,0.25,18.98,18.98,6.92,7.1,-,1.3,-,3.62,n.s.,-,0.07,-,-,-,-,-,-,-,-,-,-
10791.0,1909258526.0,4.46,20.09,24.26,n.s.,n.s.,-,1.01,-,12.75,1.15,0.8,1.66,n.s.,n.s.,1.31,1.17,-,0.07,-,0.96,0.08,0.03
10792.0,1941702274.0,1.2,-,-,-,-,-,-,-,-,-,-,1.2,-,-,-,-,-,-,-,-,-,-
10793.0,1907209305.0,0.46,-,1.11,1.12,1.4,-,0.66,-,4.66,0.77,-,27.74,-,55.71,55.71,69.69,-,0.56,-,13.76,0.58,-
10794.0,1907059708.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10795.0,1909003763.0,2.42,8.9,66.22,66.22,66.22,-,0.1,-,0.5,0.13,-,0.36,n.s.,n.s.,n.s.,n.s.,-,0.47,-,0.55,3.14,-
10796.0,1907221683.0,0.16,-,n.s.,85.03,85.03,-,0.21,-,0.24,1.54,-,0.05,-,-,9.97,17.59,-,0.3,-,-,0.62,-
10797.0,73177.0,0.29,-,1.93,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10798.0,1941319930.0,0.23,-,23.44,23.44,34.09,-,0.69,-,0.95,2.56,-,0.19,-,3.58,3.83,4.02,-,0.5,-,0.63,2.48,-
10799.0,1943172046.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10800.0,1943172045.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10801.0,1943172044.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10802.0,505144.0,13.85,n.s.,n.s.,n.s.,n.s.,-,0.6,-,7.24,0.65,2.06,0.39,0.64,2.05,n.s.,n.s.,-,0.01,-,0.08,0.02,3.5
10803.0,1943237879.0,0.02,-,37.65,29.75,37.24,-,0.03,-,0.03,1,-,0.02,-,3.74,1.65,2.07,-,0.03,-,0.04,0.64,-
10804.0,1943036047.0,0.24,-,5.25,5.25,6.69,-,0.38,-,0.68,0.9,-,0.24,-,1.69,1.69,1.81,-,0.5,-,0.79,1.45,-
10805.0,289268.0,1.56,-,69.06,97.6,146.4,-,3.39,-,7.81,5.98,-,0.92,-,12.58,12.56,15.16,-,1.07,-,5.5,1.33,-
10806.0,1909039543.0,0.05,1.31,1.56,1.54,2,-,0.29,-,0.58,0.91,-,-,-,-,-,-,-,-,-,-,-,-
10807.0,1941470303.0,6.04,-,-,n.s.,-,-,1.13,-,-,1.11,-,-,-,-,-,-,-,-,-,-,-,-
10808.0,1907179434.0,2.73,-,-,-,n.s.,-,0.95,1.06,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10809.0,1941102300.0,0.55,-,-,n.s.,-,-,1.87,-,-,n.s.,-,-,-,-,-,-,-,-,-,-,-,-
10810.0,1907185259.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10811.0,2007161260.0,0.92,5.81,6.68,6.73,8.17,-,1.85,-,3.91,4.67,-,0.99,n.s.,n.s.,n.s.,n.s.,-,4.63,-,13.27,9.06,-
