unnamed_0,deal_num,deal_type,deal_struct,deal_fin,deal_pay_method,deal_pay_method_val_usd,deal_status,rumour_d,announced_d,expected_comp_d,assumed_comp_d,completed_d,postponed_d,withdrawn_d,last_deal_status_d,last_deal_val_up_d,last_deal_status_up_d,last_pct_stake_up_d,last_acq_tar_ven_up_d,last_advisor_up_d,last_comment_up_d,last_up,rumour_d_yr,announced_d_yr,expected_comp_d_yr,assumed_comp_d_yr,completed_d_yr,postponed_d_yr,withdrawn_d_yr,last_deal_status_d_yr,last_deal_val_up_d_yr,last_deal_status_up_d_yr,last_pct_stake_up_d_yr,last_acq_tar_ven_up_d_yr,last_advisor_up_d_yr,last_comment_up_d_yr,last_up_yr
22.0,1941220399.0,Acquisition 100%,Contested bid,Capital increase - vendor placing,Shares,n.a.,Withdrawn,43567.0,43567.0,,,,,43594.0,43594.0,,43595.0,,,43592.0,43595.0,43595.0,2019.0,2019.0,,,,,2019.0,2019.0,,2019.0,,,2019.0,2019.0,2019.0
,,,Public takeover - Withdrawn,,Liabilities,15000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Recommended bid,,Cash,8000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Public takeover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Patent sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.0,67232.0,Acquisition 100%,,Capital increase - vendor placing,Shares,48407000,Completed,36018.0,36018.0,,,36160.0,,,36160.0,40799.0,,,,,,40799.0,1998.0,1998.0,,,1998.0,,,1998.0,2011.0,,,,,,2011.0
24.0,127379.0,Acquisition 100%,Recommended bid,Capital increase - vendor placing,Shares,47000000,Completed,37480.0,37921.0,,,38078.0,,,38078.0,42782.0,38078.0,37923.0,37923.0,42782.0,41138.0,42782.0,2002.0,2003.0,,,2004.0,,,2004.0,2017.0,2004.0,2003.0,2003.0,2017.0,2012.0,2017.0
,,,Public takeover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.0,90985.0,Acquisition 100% - Withdrawn,Public takeover,Capital increase - vendor placing,Shares,n.a.,Withdrawn,36819.0,36821.0,,,,,37167.0,37167.0,,,,,,41173.0,41173.0,2000.0,2000.0,,,,,2001.0,2001.0,,,,,,2012.0,2012.0
,,,Public takeover - Withdrawn,,Liabilities,n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
